year,TXx,TXn,TNx,TNn,hot_days,cold_nights
1964,29.8,18.0,15.6,-0.1,2,2
1965,29.9,18.2,15.3,0.6,2,2
1966,29.8,20.5,16.8,2.4,1,2
1967,27.8,18.1,15.4,0.8,2,2
1968,29.6,17.1,15.6,-0.3,2,2
1969,30.8,20.2,16.4,3.4,2,2
1970,28.8,19.7,15.8,3.1,2,2
1971,27.6,19.9,15.4,2.8,2,2
1972,30.7,19.8,16.2,1.3,2,2
1973,30.4,20.5,16.4,2.5,2,2
1974,28.4,19.8,15.4,2.6,2,2
1975,27.3,20.1,14.8,2.4,0,2
1976,27.5,19.5,14.6,2.2,2,2
1977,28.8,20.7,15.8,2.1,2,2
1978,28.5,19.5,15.8,0.6,2,2
1979,28.6,18.7,15.6,3.0,2,2
1980,29.1,19.3,15.0,1.7,2,2
1981,28.6,19.7,16.0,1.9,2,2
1982,29.7,20.2,15.4,1.8,2,2
1983,30.4,20.6,16.7,3.9,2,2
1984,30.3,19.1,15.4,2.9,2,2
1985,28.8,20.7,16.4,2.6,2,2
1986,28.6,20.7,16.1,3.6,2,2
1987,30.0,19.7,17.2,2.2,2,2
1988,29.6,19.2,16.3,2.4,2,2
1989,27.4,19.8,15.6,3.0,2,2
1990,29.6,20.3,15.6,3.0,2,2
1991,28.2,19.7,16.2,2.6,2,2
1992,31.4,21.2,16.3,3.3,2,2
1993,29.6,20.7,15.9,2.6,2,2
1994,28.7,19.0,15.3,0.8,2,2
1995,29.8,19.9,16.4,2.2,2,2
1996,28.6,18.3,15.9,2.6,2,2
1997,28.9,20.1,16.2,2.9,2,2
1998,28.8,21.5,16.4,3.1,2,2
1999,29.5,20.5,16.0,3.3,2,2
2000,27.4,19.4,15.8,2.1,2,2
2001,29.5,19.2,15.0,2.5,2,2
2002,28.8,19.4,15.5,2.0,2,2
2003,30.0,20.4,16.3,2.0,2,2
2004,31.0,20.3,16.0,2.5,2,2
2005,30.1,22.6,16.5,3.5,2,2
2006,29.5,20.7,16.8,2.8,2,2
2007,31.4,21.0,15.8,2.8,2,2
2008,29.7,21.5,16.0,4.0,2,2
2009,29.3,20.0,16.6,2.6,2,2
2010,30.4,20.8,16.4,2.1,2,2
2011,29.7,20.3,16.2,2.1,2,2
2012,30.6,21.2,15.7,3.1,2,2
2013,31.2,21.4,15.7,2.9,2,2
2014,29.1,21.3,17.1,2.3,1,2
2015,31.4,21.3,16.0,3.4,2,2
2016,30.9,21.0,16.2,3.4,2,2
2017,29.1,22.5,16.8,3.4,2,2
2018,30.8,21.6,16.3,3.6,2,2
2019,30.6,21.9,16.7,4.6,2,2
2020,28.9,20.5,15.9,3.1,1,2
2021,29.1,20.4,16.6,3.0,2,2
2022,30.6,20.8,15.8,3.0,2,2
2023,29.3,21.1,16.6,3.5,2,2
2024,30.4,21.8,17.5,4.0,2,2
